Date,Celebrity Name,Distance (Miles),Departure Port,Arrival Port,Gallons (Fuel),Pounds (Fuel),Cost of Fuel,CO2 emissions (aprx.Tons)
2022-06-02,Kenny Chesney,662,BNA,DWH,607,4065,4064,6
2022-06-02,Puma/Jay-Z,35,FRG,TEB,300,2014,2013,3
2022-06-02,Kim Kardashian,167,SDM,KCMA,300,2009,2008,3
2022-06-02,Kim Kardashian,5459,STN,SDM,5104,34209,34198,54
2022-06-02,Magic Johnson,1218,SAT,VNY,1630,10924,10921,17
2022-06-01,Drake,1411,COS,BQK,5375,36021,36010,57
2022-06-01,Magic Johnson,1218,VNY,SAT,1363,9136,9133,14
2022-06-01,Mark Wahlberg,121,DUB,SNN,192,1287,1286,2
2022-06-01,Mark Wahlberg,270,LTN,DUB,401,2690,2689,4
2022-06-01,Taylor Swift,612,TPA,BNA,514,3448,3447,5
2022-06-01,Taylor Swift,612,BNA,TPA,476,3189,3188,5
2022-06-01,Drake,1411,BQK,COS,5626,37702,37747,59
2022-06-01,A-Rod,1494,MSP,OPF,1478,9902,9914,16
2022-05-31,Puma/Jay-Z,35,TEB,FRG,169,1131,1132,2
2022-05-31,A-Rod,1494,OPF,MSP,1548,10373,10385,16
2022-05-31,Floyd Mayweather,2171,LAS,OPF,1902,12745,12760,20
2022-05-30,Steven Spielberg,2456,VNY,TEB,2121,14217,14234,22
2022-05-30,Dan Bilzerian,1090,AUS,LAS,1236,8282,8292,13
2022-05-30,Kim Kardashian,5465,KCMA,STN,4826,32341,32380,51
2022-05-30,Taylor Swift,3490,MMU,STI,2441,16361,16356,26
2022-05-29,Taylor Swift,738,BNA,MMU,638,4274,4273,7
2022-05-28,Floyd Mayweather,229,VNY,LAS,323,2168,2167,3
2022-05-28,Floyd Mayweather,229,LAS,VNY,334,2241,2240,4
2022-05-28,Dan Bilzerian,1090,LAS,AUS,1016,6809,6827,11
2022-05-28,Magic Johnson,229,LAS,VNY,417,2796,2803,4
2022-05-27,Magic Johnson,229,VNY,LAS,436,2925,2932,5
2022-05-27,Kim Kardashian,44,LAX,KCMA,115,771,773,1
2022-05-27,Kim Kardashian,6066,LIN,LAX,5906,39583,39689,62
2022-05-27,Taylor Swift,280,SUS,BNA,259,1733,1738,3
2022-05-27,Taylor Swift,280,BNA,SUS,308,2066,2072,3
2022-05-27,Mark Wahlberg,668,NCE,LTN,817,5477,5491,9
2022-05-27,Kenny Chesney,103,HSV,BNA,151,1011,1012,2
2022-05-26,Kenny Chesney,103,BNA,HSV,127,851,852,1
2022-05-26,Puma/Jay-Z,720,TEB,SAV,733,4916,4922,8
2022-05-26,Kim Kardashian,6072,KCMA,LIN,5261,35257,35299,56
2022-05-26,Puma/Jay-Z,35,FRG,TEB,270,1812,1815,3
2022-05-26,Floyd Mayweather,2232,TEB,LAS,2171,14551,14568,23
2022-05-26,Kenny Chesney,439,CHS,BNA,357,2396,2402,4
2022-05-26,Magic Johnson,2286,IAD,VNY,2669,17890,17937,28
2022-05-26,Steven Spielberg,2456,TEB,VNY,2328,15602,15644,25
2022-05-26,Oprah Winfrey,101,OGG,HNL,167,1117,1120,2
2022-05-25,Oprah Winfrey,2412,SBA,OGG,2364,15841,15883,25
2022-05-25,Kenny Chesney,439,BNA,CHS,344,2307,2314,4
2022-05-25,Mark Wahlberg,668,LTN,NCE,745,4992,5005,8
2022-05-25,Floyd Mayweather,3641,RTM,TEE,4001,26812,27124,42
2022-05-25,Magic Johnson,2286,VNY,IAD,2525,16925,17122,27
2022-05-24,Taylor Swift,266,ALN,BNA,255,1709,1729,3
2022-05-24,Kim Kardashian,35,VNY,KCMA,100,669,677,1
2022-05-23,Tiger Wood,2315,VNY,SUA,2041,13677,13836,22
2022-05-23,Blake Shelton,63,TE68,DAL,170,1141,1154,2
2022-05-23,Steven Spielberg,3634,LBG,TEB,3536,23695,23971,37
2022-05-22,Tiger Wood,1283,TUL,VNY,1261,8454,8552,13
2022-05-22,Kenny Chesney,203,FTY,BNA,234,1566,1584,2
2022-05-22,Taylor Swift,266,BNA,ALN,259,1734,1754,3
2022-05-21,Steven Spielberg,224,RTM,LBG,447,2997,3032,5
2022-05-20,Steven Spielberg,224,LBG,RTM,320,2146,2171,3
2022-05-20,Oprah Winfrey,1784,DPA,SBA,1913,12818,12967,20
2022-05-20,Kenny Chesney,303,GUF,FTY,273,1831,1844,3
2022-05-20,Oprah Winfrey,594,PDK,DPA,673,4514,4546,7
2022-05-19,A-Rod,199,TPA,OPF,278,1860,1874,3
2022-05-19,Taylor Swift,1790,BNA,BUR,1347,9028,9093,14
2022-05-19,Steven Spielberg,3634,TEB,LBG,3104,20802,20951,33
2022-05-19,Kenny Chesney,406,BNA,GUF,357,2395,2412,4
2022-05-19,Taylor Swift,738,MMU,BNA,604,4051,4080,6
2022-05-19,Puma/Jay-Z,35,TEB,FRG,145,970,973,2
2022-05-19,Blake Shelton,598,BNA,ADM,677,4539,4551,7
2022-05-19,Puma/Jay-Z,2439,SNA,TEB,2055,13770,13807,22
2022-05-19,Mark Wahlberg,1314,MOT,VNY,1302,8725,8748,14
2022-05-18,Steven Spielberg,2456,VNY,TEB,2117,14185,14223,22
2022-05-18,A-Rod,199,OPF,TPA,307,2059,2062,3
2022-05-18,Oprah Winfrey,594,DPA,PDK,608,4077,4082,6
2022-05-17,Oprah Winfrey,1784,SBA,DPA,1571,10532,10544,17
2022-05-17,Taylor Swift,738,BNA,MMU,652,4368,4373,7
2022-05-17,Taylor Swift,612,TPA,BNA,507,3399,3403,5
2022-05-17,Taylor Swift,612,BNA,TPA,467,3129,3132,5
2022-05-17,Oprah Winfrey,455,PHX,SBA,509,3409,3408,5
2022-05-16,Blake Shelton,779,HPN,BNA,988,6624,6622,10
2022-05-16,Puma/Jay-Z,2439,TEB,SNA,2262,15157,15152,24
2022-05-16,A-Rod,953,HOU,OPF,924,6192,6181,10
2022-05-16,Taylor Swift,738,MMU,BNA,621,4159,4151,7
2022-05-16,Taylor Swift,756,AUS,BNA,565,3785,3779,6
2022-05-16,Taylor Swift,1494,AUS,MMU,1158,7760,7746,12
2022-05-16,A-Rod,1020,PHX,HOU,973,6522,6510,10
2022-05-16,Taylor Swift,756,BNA,AUS,636,4259,4251,7
2022-05-16,Steven Spielberg,2531,FOK,VNY,2485,16654,16624,26
2022-05-15,A-Rod,255,LAS,PHX,308,2067,2063,3
2022-05-15,Blake Shelton,1355,ADM,HPN,1470,9850,9833,16
2022-05-15,Taylor Swift,756,BNA,AUS,597,4003,3995,6
2022-05-15,Tiger Wood,1110,SUA,TUL,1037,6948,6936,11
2022-05-15,Kenny Chesney,475,MKE,BNA,440,2947,2941,5
2022-05-14,Taylor Swift,738,MMU,BNA,622,4167,4159,7
2022-05-14,Taylor Swift,3490,STN,MMU,2648,17746,17714,28
2022-05-14,Harrison Ford,1213,FTW,HHR,729,4883,4874,8
2022-05-13,A-Rod,2171,OPF,LAS,2297,15397,15369,24
2022-05-13,Blake Shelton,1227,VNY,ADM,1140,7639,7626,12
2022-05-13,Kenny Chesney,475,BNA,MKE,412,2762,2757,4
2022-05-13,Mark Wahlberg,236,LBG,LTN,455,3047,3041,5
2022-05-12,A-Rod,55,PBI,OPF,242,1620,1614,3
2022-05-12,Mark Wahlberg,236,LTN,LBG,442,2963,2953,5
2022-05-12,Dan Bilzerian,229,VNY,LAS,298,1994,1982,3
2022-05-11,Magic Johnson,1746,MDW,VNY,2272,15230,15135,24
2022-05-11,Puma/Jay-Z,2456,VNY,TEB,2013,13491,13185,21
2022-05-10,Harrison Ford,791,TYS,FTY,472,3160,3088,5
2022-05-10,Steven Spielberg,75,TEB,FOK,240,1611,1574,3
2022-05-10,Dan Bilzerian,229,LAS,VNY,384,2575,2516,4
2022-05-10,Dan Bilzerian,1943,YYZ,LAS,2097,14057,13633,22
2022-05-09,Taylor Swift,4198,BNA,STN,2873,19257,18677,30
2022-05-09,Taylor Swift,612,TPA,BNA,477,3198,3102,5
2022-05-09,Taylor Swift,612,BNA,TPA,466,3124,3030,5
2022-05-08,Floyd Mayweather,3173,GMZ,GMZ,18,123,119,0
2022-05-07,Taylor Swift,779,HPN,BNA,691,4633,4494,7
2022-05-07,Tiger Wood,174,PBI,TPA,269,1805,1750,3
2022-05-07,Floyd Mayweather,2232,LAS,TEB,2038,13657,13245,22
2022-05-07,Taylor Swift,1032,TPA,HPN,836,5605,5436,9
2022-05-07,Tiger Wood,35,SUA,PBI,116,775,752,1
2022-05-07,Taylor Swift,612,BNA,TPA,486,3257,3159,5
2022-05-06,Jack Nicklaus,2613,OAK,HVN,2109,14134,13708,22
2022-05-06,Puma/Jay-Z,1139,OPF,AUA,1007,6746,6542,11
2022-05-06,Floyd Mayweather,229,VNY,LAS,348,2329,2248,4
2022-05-06,Magic Johnson,1836,APC,MDW,2065,13837,13358,22
2022-05-05,Kenny Chesney,281,BNA,BNA,12,82,79,0
2022-05-05,Puma/Jay-Z,799,BNA,OPF,739,4953,4759,8
2022-05-04,Puma/Jay-Z,942,BOS,BNA,989,6631,6371,10
2022-05-04,A-Rod,1090,TEB,OPF,1201,8048,7733,13
2022-05-04,Steven Spielberg,2456,TEB,VNY,2421,16229,15594,26
2022-05-04,Taylor Swift,612,BNA,TPA,475,3185,3061,5
2022-05-04,Kim Kardashian,943,TEB,ORL,1024,6862,6593,11
2022-05-04,Puma/Jay-Z,571,MDE,AUA,607,4071,3857,6
2022-05-03,Magic Johnson,126,SAN,VNY,303,2032,1925,3
2022-05-03,Kenny Chesney,433,BTL,BNA,365,2446,2318,4
2022-05-03,Magic Johnson,1129,SAT,SAN,1575,10558,10004,17
2022-05-03,Taylor Swift,814,HCC,BNA,652,4368,4139,7
2022-05-03,Taylor Swift,300,BGR,HCC,267,1790,1696,3
2022-05-03,Floyd Mayweather,229,LAS,VNY,330,2212,2096,3
2022-05-03,Taylor Swift,3097,STN,BGR,2263,15164,14368,24
2022-05-03,Taylor Swift,3473,TEB,STN,2324,15575,14687,25
2022-05-03,Magic Johnson,1218,VNY,SAT,1320,8847,8343,14
2022-05-02,Taylor Swift,757,BNA,TEB,564,3782,3566,6
2022-05-02,Kim Kardashian,943,ORL,TEB,990,6634,6256,10
2022-05-01,Kim Kardashian,943,TEB,ORL,985,6603,6227,10
2022-05-01,A-Rod,1090,OPF,TEB,1215,8144,7680,13
2022-05-01,Tiger Wood,2136,LAS,SUA,1781,11933,11253,19
2022-05-01,Kenny Chesney,433,BNA,BTL,325,2179,2055,3
2022-05-01,Kenny Chesney,329,CLT,BNA,322,2157,2034,3
2022-05-01,Kim Kardashian,223,IAD,TEB,449,3010,2839,5
2022-05-01,Blake Shelton,2473,VNY,HPN,2227,14925,14074,24
2022-04-30,Mark Wahlberg,3588,MDT,LTN,3423,22944,21944,36
2022-04-30,A-Rod,1298,MSP,OPF,1530,10257,9672,16
2022-04-30,Kim Kardashian,2286,VNY,IAD,1984,13299,12541,21
2022-04-30,Puma/Jay-Z,134,MDE,BOG,166,1114,1051,2
2022-04-29,Kenny Chesney,1032,AUS,CLT,735,4929,4648,8
2022-04-29,Mark Wahlberg,335,BOS,MDT,451,3020,2844,5
2022-04-29,Floyd Mayweather,229,VNY,LAS,349,2338,2201,4
2022-04-29,Mark Wahlberg,3260,LTN,BOS,3153,21133,19897,33
2022-04-29,Blake Shelton,591,PNX,BNA,609,4079,3841,6
2022-04-29,Tiger Wood,1076,TUL,LAS,1119,7500,7061,12
2022-04-29,A-Rod,1494,OPF,MSP,1690,11324,10661,18
2022-04-28,Mark Wahlberg,45,FAB,LTN,199,1333,1255,2
2022-04-28,Kenny Chesney,756,BNA,AUS,650,4356,4101,7
2022-04-28,Tiger Wood,1110,SUA,TUL,1087,7288,6861,11
2022-04-28,Floyd Mayweather,320,SFO,VNY,379,2543,2383,4
2022-04-28,Floyd Mayweather,320,VNY,SFO,407,2728,2556,4
2022-04-27,Floyd Mayweather,377,PHX,VNY,491,3291,3069,5
2022-04-27,A-Rod,854,MEM,OPF,864,5788,5397,9
2022-04-27,Floyd Mayweather,377,VNY,PHX,530,3552,3313,6
2022-04-26,A-Rod,854,OPF,MEM,912,6116,5703,10
2022-04-26,Steven Spielberg,1250,DAL,VNY,1302,8729,8140,14
2022-04-25,Magic Johnson,1746,VNY,MDW,1887,12645,11774,20
2022-04-25,Kenny Chesney,849,EYW,BNA,694,4652,4331,7
2022-04-25,Puma/Jay-Z,540,TEB,CLT,554,3711,3455,6
2022-04-25,Blake Shelton,1798,BNA,VNY,2012,13484,12554,21
2022-04-25,Puma/Jay-Z,1090,OPF,TEB,1464,9809,9132,15
2022-04-24,A-Rod,1494,MSP,OPF,1487,9968,9281,16
2022-04-24,Puma/Jay-Z,1090,TEB,OPF,1071,7180,6685,11
2022-04-24,Puma/Jay-Z,1090,OPF,TEB,1165,7810,7271,12
2022-04-24,Kim Kardashian,750,ORL,IAD,829,5558,5175,9
2022-04-23,Harrison Ford,1945,TYS,HHR,1165,7808,7270,12
2022-04-23,Puma/Jay-Z,1048,SJU,OPF,1028,6891,6426,11
2022-04-22,Harrison Ford,756,ICT,TYS,399,2674,2484,4
2022-04-22,Puma/Jay-Z,1054,BCT,SJU,914,6129,5716,10
2022-04-22,Kenny Chesney,190,FXE,TPA,194,1298,1210,2
2022-04-22,Puma/Jay-Z,1056,TEB,BCT,967,6484,6047,10
2022-04-22,Kenny Chesney,190,TPA,FXE,243,1626,1517,3
2022-04-22,Floyd Mayweather,229,LAS,VNY,373,2499,2330,4
2022-04-22,Floyd Mayweather,367,SLC,LAS,526,3529,3280,6
2022-04-22,Floyd Mayweather,373,HSH,SLC,405,2711,2520,4
2022-04-22,Floyd Mayweather,226,VNY,HSH,305,2041,1897,3
2022-04-21,A-Rod,1494,OPF,MSP,1661,11133,10349,18
2022-04-21,Puma/Jay-Z,190,BOS,TEB,410,2746,2552,4
2022-04-21,Magic Johnson,2218,ISM,VNY,2897,19414,18134,31
2022-04-20,Floyd Mayweather,229,LAS,VNY,365,2444,2283,4
2022-04-20,Puma/Jay-Z,2607,VNY,BOS,2057,13784,12875,22
2022-04-20,Floyd Mayweather,255,PHX,LAS,356,2388,2234,4
2022-04-20,Magic Johnson,2218,VNY,ISM,2321,15552,14550,24
2022-04-20,Floyd Mayweather,255,LAS,PHX,374,2508,2346,4
2022-04-19,Kenny Chesney,612,BNA,TPA,487,3266,3055,5
2022-04-19,Blake Shelton,1227,VNY,ADM,1097,7350,6876,12
2022-04-19,Floyd Mayweather,229,VNY,LAS,326,2183,2043,3
2022-04-19,Floyd Mayweather,320,SFO,VNY,396,2655,2468,4
2022-04-19,Taylor Swift,1587,LAS,BNA,1017,6818,6338,11
2022-04-19,Puma/Jay-Z,2607,BOS,VNY,2495,16721,15543,26
2022-04-19,Floyd Mayweather,320,VNY,SFO,447,2996,2785,5
2022-04-19,Floyd Mayweather,229,LAS,VNY,331,2220,2064,3
2022-04-18,Harrison Ford,1199,HHR,ICT,583,3909,3633,6
2022-04-18,Tiger Wood,1933,FLG,SUA,1500,10055,9347,16
2022-04-18,Taylor Swift,223,BUR,LAS,253,1694,1575,3
2022-04-18,Taylor Swift,1790,BNA,BUR,1520,10186,9469,16
2022-04-18,Floyd Mayweather,2232,TEB,LAS,2433,16308,15159,26
2022-04-18,A-Rod,1090,TEB,OPF,1156,7746,7201,12
2022-04-18,Tiger Wood,44,VLE,FLG,122,819,761,1
2022-04-18,Taylor Swift,280,SUS,BNA,285,1911,1777,3
2022-04-17,Taylor Swift,280,BNA,SUS,302,2027,1884,3
2022-04-17,Tiger Wood,78,PGA,TBC,61,411,382,1
2022-04-17,Floyd Mayweather,92,PHL,TEB,201,1348,1253,2
2022-04-17,A-Rod,955,MEM,TEB,976,6541,6081,10
2022-04-16,Floyd Mayweather,92,TEB,PHL,194,1303,1211,2
2022-04-16,Taylor Swift,280,SUS,BNA,257,1725,1603,3
2022-04-16,Taylor Swift,280,BNA,SUS,289,1935,1799,3
2022-04-16,A-Rod,955,TEB,MEM,1183,7931,7372,12
2022-04-16,Puma/Jay-Z,2607,VNY,BOS,1896,12705,11848,20
2022-04-15,Tiger Wood,1722,SUA,RAP,1824,12226,11401,19
2022-04-15,A-Rod,500,YIP,TEB,551,3693,3416,6
2022-04-15,Floyd Mayweather,1090,OPF,TEB,1156,7751,7170,12
2022-04-14,A-Rod,1141,OPF,YIP,1255,8408,7778,13
2022-04-14,Magic Johnson,2456,TEB,VNY,3206,21490,19880,34
2022-04-14,Puma/Jay-Z,1948,ATL,VNY,2041,13681,12554,22
2022-04-13,Puma/Jay-Z,757,TEB,ATL,782,5241,4809,8
2022-04-13,Mark Wahlberg,4200,FAB,FSD,4063,27230,24987,43
2022-04-13,A-Rod,1494,MSP,OPF,1440,9652,8857,15
2022-04-13,Puma/Jay-Z,191,CGE,TEB,260,1743,1589,3
2022-04-12,Puma/Jay-Z,188,JFK,CGE,287,1924,1754,3
2022-04-12,Puma/Jay-Z,21,TEB,JFK,222,1485,1354,2
2022-04-11,Kenny Chesney,259,GMU,BNA,285,1911,1737,3
2022-04-11,Kenny Chesney,259,BNA,GMU,234,1568,1425,2
2022-04-11,Taylor Swift,280,SUS,BNA,242,1623,1473,3
2022-04-10,Taylor Swift,1143,SLC,SUS,721,4832,4383,8
2022-04-10,Tiger Wood,439,AGS,SUA,429,2878,2611,5
2022-04-10,Taylor Swift,573,BUR,SLC,482,3230,2930,5
2022-04-10,Mark Wahlberg,5442,VNY,FAB,4930,33039,29973,52
2022-04-10,Tiger Wood,474,PBI,AGS,530,3551,3221,6
2022-04-09,Tiger Wood,35,SUA,PBI,129,868,787,1
2022-04-09,Blake Shelton,45,ADM,PNX,102,686,622,1
2022-04-09,Mark Wahlberg,377,PHX,VNY,485,3249,2948,5
2022-04-09,Dan Bilzerian,109,OPF,FPR,264,1772,1607,3
2022-04-08,Dan Bilzerian,1135,AFW,OPF,1050,7034,6381,11
2022-04-08,Taylor Swift,1143,SUS,SLC,892,5980,5425,9
2022-04-08,Harrison Ford,1238,AUS,HHR,730,4890,4436,8
2022-04-08,Dan Bilzerian,1038,LAS,AFW,973,6524,5918,10
2022-04-08,Mark Wahlberg,2138,TEB,PHX,2099,14065,12759,22
2022-04-08,Taylor Swift,280,BNA,SUS,291,1953,1772,3
2022-04-08,A-Rod,1009,MSP,TEB,1016,6812,6190,11
2022-04-08,Magic Johnson,348,APC,VNY,500,3348,3043,5
2022-04-08,Magic Johnson,2584,MIA,APC,3417,22898,20807,36
2022-04-07,Drake,354,RDU,BQK,1791,12001,10905,19
2022-04-07,Harrison Ford,182,FTW,AUS,150,1005,914,2
2022-04-07,Drake,507,YHM,RDU,2376,15927,14472,25
2022-04-07,Mark Wahlberg,92,PHL,TEB,203,1357,1223,2
2022-04-06,Puma/Jay-Z,3976,TEB,NUE,3243,21734,19457,34
2022-04-06,Drake,1245,IAH,YHM,4109,27541,24656,43
2022-04-06,Mark Wahlberg,280,BOS,PHL,503,3370,3017,5
2022-04-05,Mark Wahlberg,2023,HLN,BOS,1795,12033,10700,19
2022-04-05,A-Rod,1009,TEB,MSP,1127,7554,6717,12
2022-04-04,Taylor Swift,612,TPA,BNA,513,3440,3060,5
2022-04-04,Jim Carrey,1251,BOS,OPF,1330,8913,7926,14
2022-04-04,Taylor Swift,4433,TPA,STN,3070,20577,18299,32
2022-04-03,Tiger Wood,439,AGS,SUA,430,2882,2563,5
2022-04-03,Blake Shelton,126,VNY,SAN,222,1486,1321,2
2022-04-02,A-Rod,672,OPF,NEW,897,6009,5343,9
2022-04-02,Oprah Winfrey,455,SBA,PHX,534,3577,3175,6
2022-04-02,Oprah Winfrey,2122,BKL,SBA,1979,13262,11774,21
2022-04-01,Puma/Jay-Z,720,SAV,TEB,749,5020,4456,8
2022-04-01,Floyd Mayweather,2345,VNY,OPF,1951,13075,11608,21
2022-04-01,Floyd Mayweather,229,LAS,VNY,329,2205,1948,3
2022-03-31,Magic Johnson,920,GRR,NEW,1251,8383,7405,13
2022-03-31,Magic Johnson,920,NEW,GRR,1048,7025,6205,11
2022-03-30,Mark Wahlberg,229,VNY,LAS,317,2123,1862,3
2022-03-29,Tiger Wood,439,AGS,SUA,417,2792,2387,4
2022-03-28,Puma/Jay-Z,213,CLT,SAV,292,1960,1667,3
2022-03-28,Kenny Chesney,152,TYS,BNA,185,1243,1057,2
2022-03-28,Kenny Chesney,152,BNA,TYS,160,1074,914,2
2022-03-27,Puma/Jay-Z,491,TEB,DTW,546,3657,3110,6
2022-03-26,Kenny Chesney,152,TYS,BNA,186,1245,1057,2
2022-03-26,Kenny Chesney,152,BNA,TYS,151,1009,857,2
2022-03-25,Puma/Jay-Z,45,TEB,TEB,295,1977,1682,3
2022-03-25,Oprah Winfrey,62,BQK,SAV,139,931,790,1
2022-03-24,Oprah Winfrey,778,DPA,BQK,826,5539,4702,9
2022-03-24,Oprah Winfrey,1784,SBA,DPA,1697,11373,9656,18
2022-03-23,Jim Carrey,320,SFO,VNY,355,2376,2021,4
2022-03-23,Mark Wahlberg,2348,MIA,VNY,2506,16797,14285,26
2022-03-23,Mark Wahlberg,2348,VNY,MIA,2103,14092,11943,22
2022-03-23,Oprah Winfrey,2412,OGG,SBA,2069,13865,11751,22
2022-03-22,A-Rod,1106,DAL,OPF,1092,7316,6157,12
2022-03-21,Jim Carrey,320,VNY,SFO,404,2710,2281,4
2022-03-20,Oprah Winfrey,709,TEX,SBA,736,4930,4149,8
2022-03-20,Steven Spielberg,75,TEB,FOK,239,1600,1346,3
2022-03-19,Kim Kardashian,2345,VNY,OPF,1965,13169,11083,21
2022-03-18,Blake Shelton,1227,VNY,ADM,1127,7552,6355,12
2022-03-18,Taylor Swift,738,BNA,MMU,605,4056,3413,6
2022-03-18,Steven Spielberg,3449,LTN,TEB,3680,24664,20682,39
2022-03-17,Oprah Winfrey,709,SBA,TEX,670,4488,3764,7
2022-03-16,Mark Wahlberg,229,LAS,VNY,393,2633,2184,4
2022-03-16,Steven Spielberg,236,LBG,LTN,413,2766,2295,4
2022-03-14,Jim Carrey,940,VNY,BFI,963,6457,5251,10
2022-03-14,Steven Spielberg,224,RTM,LBG,419,2807,2282,4
2022-03-14,Steven Spielberg,3641,TEB,RTM,2977,19952,16195,31
2022-03-13,Puma/Jay-Z,102,VNY,CLD,189,1264,1026,2
2022-03-13,Puma/Jay-Z,1952,PDK,VNY,1957,13119,10648,21
2022-03-13,Steven Spielberg,2456,VNY,TEB,2069,13868,11256,22
2022-03-13,Mark Wahlberg,229,LAS,VNY,348,2329,1891,4
2022-03-12,Jim Carrey,229,LAS,VNY,322,2157,1751,3
2022-03-12,Puma/Jay-Z,390,FRG,LYH,678,4544,3688,7
2022-03-12,Tiger Wood,104,MCO,SRQ,237,1585,1287,2
2022-03-12,Tiger Wood,109,SUA,MCO,268,1794,1456,3
2022-03-12,Puma/Jay-Z,168,BOS,FRG,344,2307,1866,4
2022-03-11,Jim Carrey,229,VNY,LAS,325,2176,1760,3
2022-03-10,Taylor Swift,738,MMU,BNA,759,5084,4111,8
2022-03-10,Tiger Wood,203,UST,SUA,291,1948,1552,3
2022-03-09,Puma/Jay-Z,220,JAX,SRQ,350,2346,1869,4
2022-03-09,Tiger Wood,203,SUA,UST,303,2029,1617,3
2022-03-09,Steven Spielberg,2456,VNY,TEB,2000,13404,10680,21
2022-03-09,Puma/Jay-Z,327,OPF,JAX,398,2668,2125,4
2022-03-08,Taylor Swift,738,BNA,MMU,530,3549,2759,6
2022-03-08,Jim Carrey,2348,FLL,VNY,2394,16045,12425,25
2022-03-08,Puma/Jay-Z,1251,BOS,OPF,1354,9075,7027,14
2022-03-07,Puma/Jay-Z,190,TEB,BOS,331,2216,1716,3
2022-03-07,Tiger Wood,35,PBI,SUA,138,926,717,1
2022-03-07,Oprah Winfrey,2485,VNY,OGG,2524,16919,13102,27
2022-03-06,Jim Carrey,708,TYS,FLL,731,4900,3795,8
2022-03-06,Oprah Winfrey,79,SBA,VNY,192,1284,994,2
2022-03-06,Mark Wahlberg,1442,DSM,VNY,1547,10370,8030,16
2022-03-06,Steven Spielberg,940,BFI,VNY,897,6012,4656,9
2022-03-05,Mark Wahlberg,624,DAL,DSM,661,4432,3432,7
2022-03-04,Jim Carrey,1950,VNY,TYS,1573,10543,8148,17
2022-03-04,Steven Spielberg,940,VNY,BFI,956,6410,4954,10
2022-03-04,Mark Wahlberg,793,MDW,DAL,879,5892,4563,9
2022-03-03,Oprah Winfrey,455,PHX,SBA,501,3359,2601,5
2022-03-03,Mark Wahlberg,1182,MIA,MDW,1357,9095,7002,14
2022-03-02,Jim Carrey,250,MRY,VNY,318,2129,1639,3